"Color (R, G, B)",Count
"(np.int64(73), np.int64(75), np.int64(90))",349
"(np.int64(170), np.int64(174), np.int64(181))",284
"(np.int64(234), np.int64(237), np.int64(234))",231
"(np.int64(124), np.int64(124), np.int64(130))",210
"(np.int64(52), np.int64(55), np.int64(66))",203
"(np.int64(35), np.int64(26), np.int64(30))",195
"(np.int64(92), np.int64(92), np.int64(108))",115
"(np.int64(170), np.int64(121), np.int64(97))",78
"(np.int64(115), np.int64(82), np.int64(64))",59
"(np.int64(224), np.int64(224), np.int64(216))",50
