"Color (R, G, B)",Count
"(np.int64(58), np.int64(43), np.int64(78))",260
"(np.int64(167), np.int64(145), np.int64(138))",201
"(np.int64(0), np.int64(0), np.int64(0))",196
"(np.int64(125), np.int64(86), np.int64(117))",185
"(np.int64(87), np.int64(67), np.int64(62))",184
"(np.int64(151), np.int64(175), np.int64(190))",178
"(np.int64(234), np.int64(189), np.int64(214))",161
"(np.int64(10), np.int64(12), np.int64(35))",155
"(np.int64(110), np.int64(113), np.int64(154))",132
"(np.int64(210), np.int64(196), np.int64(176))",126
