"Color (R, G, B)",Count
"(np.int64(160), np.int64(151), np.int64(137))",235
"(np.int64(83), np.int64(66), np.int64(91))",189
"(np.int64(217), np.int64(218), np.int64(206))",163
"(np.int64(9), np.int64(8), np.int64(7))",110
"(np.int64(131), np.int64(129), np.int64(126))",87
"(np.int64(18), np.int64(20), np.int64(20))",73
"(np.int64(252), np.int64(253), np.int64(253))",61
"(np.int64(202), np.int64(187), np.int64(171))",61
"(np.int64(87), np.int64(72), np.int64(61))",47
"(np.int64(174), np.int64(208), np.int64(221))",43
