"Color (R, G, B)",Count
"(np.int64(84), np.int64(66), np.int64(63))",369
"(np.int64(152), np.int64(149), np.int64(144))",361
"(np.int64(192), np.int64(188), np.int64(197))",275
"(np.int64(29), np.int64(31), np.int64(34))",273
"(np.int64(237), np.int64(237), np.int64(241))",263
"(np.int64(118), np.int64(114), np.int64(110))",207
"(np.int64(194), np.int64(159), np.int64(114))",70
"(np.int64(156), np.int64(76), np.int64(55))",41
"(np.int64(155), np.int64(125), np.int64(89))",40
"(np.int64(116), np.int64(132), np.int64(187))",35
