"Color (R, G, B)",Count
"(np.int64(46), np.int64(43), np.int64(42))",497
"(np.int64(144), np.int64(117), np.int64(139))",332
"(np.int64(207), np.int64(201), np.int64(187))",305
"(np.int64(84), np.int64(83), np.int64(101))",158
"(np.int64(252), np.int64(252), np.int64(251))",144
"(np.int64(182), np.int64(185), np.int64(180))",120
"(np.int64(153), np.int64(79), np.int64(57))",112
"(np.int64(83), np.int64(121), np.int64(122))",105
"(np.int64(61), np.int64(48), np.int64(45))",92
"(np.int64(19), np.int64(20), np.int64(33))",69
