"Color (R, G, B)",Count
"(np.int64(152), np.int64(147), np.int64(156))",116
"(np.int64(94), np.int64(86), np.int64(86))",96
"(np.int64(50), np.int64(31), np.int64(52))",81
"(np.int64(233), np.int64(221), np.int64(202))",62
"(np.int64(198), np.int64(196), np.int64(200))",57
"(np.int64(118), np.int64(112), np.int64(95))",27
"(np.int64(75), np.int64(184), np.int64(137))",23
"(np.int64(3), np.int64(1), np.int64(1))",15
"(np.int64(122), np.int64(160), np.int64(138))",13
"(np.int64(238), np.int64(236), np.int64(212))",6
