"Color (R, G, B)",Count
"(np.int64(93), np.int64(89), np.int64(81))",48
"(np.int64(178), np.int64(177), np.int64(174))",36
"(np.int64(46), np.int64(47), np.int64(38))",35
"(np.int64(164), np.int64(134), np.int64(100))",33
"(np.int64(213), np.int64(211), np.int64(206))",32
"(np.int64(132), np.int64(136), np.int64(138))",10
"(np.int64(229), np.int64(239), np.int64(243))",8
"(np.int64(38), np.int64(31), np.int64(27))",5
"(np.int64(207), np.int64(173), np.int64(139))",3
"(np.int64(19), np.int64(55), np.int64(121))",3
