"Color (R, G, B)",Count
"(np.int64(242), np.int64(235), np.int64(226))",238
"(np.int64(69), np.int64(47), np.int64(60))",237
"(np.int64(159), np.int64(120), np.int64(123))",188
"(np.int64(107), np.int64(91), np.int64(98))",148
"(np.int64(207), np.int64(155), np.int64(150))",139
"(np.int64(165), np.int64(188), np.int64(185))",123
"(np.int64(43), np.int64(37), np.int64(46))",84
"(np.int64(13), np.int64(14), np.int64(34))",55
"(np.int64(219), np.int64(236), np.int64(184))",32
"(np.int64(135), np.int64(68), np.int64(59))",22
