"Color (R, G, B)",Count
"(np.int64(151), np.int64(168), np.int64(157))",265
"(np.int64(71), np.int64(71), np.int64(69))",179
"(np.int64(92), np.int64(87), np.int64(83))",77
"(np.int64(22), np.int64(25), np.int64(64))",73
"(np.int64(215), np.int64(207), np.int64(193))",70
"(np.int64(230), np.int64(237), np.int64(233))",61
"(np.int64(114), np.int64(158), np.int64(130))",54
"(np.int64(0), np.int64(0), np.int64(0))",45
"(np.int64(50), np.int64(49), np.int64(46))",36
"(np.int64(112), np.int64(114), np.int64(115))",31
