"Color (R, G, B)",Count
"(np.int64(144), np.int64(166), np.int64(154))",320
"(np.int64(49), np.int64(49), np.int64(47))",267
"(np.int64(104), np.int64(104), np.int64(101))",259
"(np.int64(188), np.int64(210), np.int64(196))",159
"(np.int64(0), np.int64(0), np.int64(0))",69
"(np.int64(242), np.int64(243), np.int64(242))",67
"(np.int64(141), np.int64(133), np.int64(125))",67
"(np.int64(95), np.int64(89), np.int64(85))",45
"(np.int64(128), np.int64(83), np.int64(75))",18
"(np.int64(190), np.int64(189), np.int64(183))",16
