"Color (R, G, B)",Count
"(np.int64(167), np.int64(165), np.int64(159))",32
"(np.int64(127), np.int64(132), np.int64(122))",24
"(np.int64(210), np.int64(203), np.int64(191))",20
"(np.int64(48), np.int64(46), np.int64(44))",19
"(np.int64(70), np.int64(79), np.int64(35))",8
"(np.int64(107), np.int64(115), np.int64(103))",6
"(np.int64(239), np.int64(222), np.int64(194))",4
"(np.int64(252), np.int64(250), np.int64(220))",4
"(np.int64(102), np.int64(110), np.int64(99))",3
"(np.int64(170), np.int64(33), np.int64(61))",2
