"Color (R, G, B)",Count
"(np.int64(152), np.int64(153), np.int64(152))",53
"(np.int64(45), np.int64(45), np.int64(45))",49
"(np.int64(96), np.int64(96), np.int64(96))",46
"(np.int64(207), np.int64(208), np.int64(208))",40
"(np.int64(252), np.int64(252), np.int64(252))",11
"(np.int64(129), np.int64(131), np.int64(130))",11
"(np.int64(189), np.int64(190), np.int64(190))",7
"(np.int64(185), np.int64(161), np.int64(119))",3
"(np.int64(171), np.int64(136), np.int64(54))",3
"(np.int64(71), np.int64(108), np.int64(120))",3
