"Color (R, G, B)",Count
"(np.int64(178), np.int64(176), np.int64(178))",23
"(np.int64(128), np.int64(125), np.int64(124))",18
"(np.int64(45), np.int64(47), np.int64(48))",14
"(np.int64(63), np.int64(81), np.int64(107))",4
"(np.int64(217), np.int64(218), np.int64(219))",3
"(np.int64(132), np.int64(111), np.int64(103))",3
"(np.int64(190), np.int64(189), np.int64(191))",2
"(np.int64(181), np.int64(108), np.int64(128))",1
"(np.int64(160), np.int64(157), np.int64(156))",1
"(np.int64(74), np.int64(58), np.int64(53))",1
