"Color (R, G, B)",Count
"(np.int64(168), np.int64(166), np.int64(158))",32
"(np.int64(86), np.int64(83), np.int64(77))",21
"(np.int64(51), np.int64(50), np.int64(45))",14
"(np.int64(148), np.int64(144), np.int64(132))",11
"(np.int64(119), np.int64(116), np.int64(107))",4
"(np.int64(245), np.int64(248), np.int64(249))",3
"(np.int64(178), np.int64(179), np.int64(177))",3
"(np.int64(28), np.int64(30), np.int64(29))",3
"(np.int64(52), np.int64(42), np.int64(39))",2
"(np.int64(192), np.int64(184), np.int64(181))",2
