"Color (R, G, B)",Count
"(np.int64(85), np.int64(80), np.int64(77))",47
"(np.int64(183), np.int64(178), np.int64(172))",46
"(np.int64(53), np.int64(68), np.int64(44))",28
"(np.int64(229), np.int64(239), np.int64(222))",16
"(np.int64(93), np.int64(109), np.int64(84))",14
"(np.int64(165), np.int64(156), np.int64(148))",13
"(np.int64(201), np.int64(198), np.int64(196))",12
"(np.int64(31), np.int64(34), np.int64(33))",11
"(np.int64(154), np.int64(145), np.int64(133))",6
"(np.int64(182), np.int64(142), np.int64(72))",2
