"Color (R, G, B)",Count
"(np.int64(86), np.int64(115), np.int64(81))",32
"(np.int64(171), np.int64(176), np.int64(138))",27
"(np.int64(33), np.int64(46), np.int64(29))",23
"(np.int64(62), np.int64(95), np.int64(59))",13
"(np.int64(115), np.int64(135), np.int64(103))",12
"(np.int64(236), np.int64(239), np.int64(190))",11
"(np.int64(232), np.int64(224), np.int64(174))",5
"(np.int64(252), np.int64(253), np.int64(253))",3
"(np.int64(207), np.int64(213), np.int64(220))",3
"(np.int64(160), np.int64(166), np.int64(102))",3
