"Color (R, G, B)",Count
"(np.int64(154), np.int64(152), np.int64(148))",40
"(np.int64(114), np.int64(98), np.int64(85))",22
"(np.int64(46), np.int64(43), np.int64(43))",21
"(np.int64(166), np.int64(164), np.int64(162))",6
"(np.int64(143), np.int64(138), np.int64(131))",3
"(np.int64(214), np.int64(206), np.int64(216))",3
"(np.int64(84), np.int64(76), np.int64(72))",2
"(np.int64(5), np.int64(3), np.int64(3))",2
"(np.int64(201), np.int64(78), np.int64(75))",1
"(np.int64(170), np.int64(168), np.int64(165))",1
