"Color (R, G, B)",Count
"(np.int64(31), np.int64(31), np.int64(33))",289
"(np.int64(107), np.int64(85), np.int64(69))",251
"(np.int64(178), np.int64(198), np.int64(210))",178
"(np.int64(142), np.int64(126), np.int64(158))",100
"(np.int64(108), np.int64(105), np.int64(141))",94
"(np.int64(199), np.int64(204), np.int64(207))",65
"(np.int64(152), np.int64(158), np.int64(135))",53
"(np.int64(155), np.int64(122), np.int64(91))",47
"(np.int64(163), np.int64(183), np.int64(196))",41
"(np.int64(58), np.int64(72), np.int64(88))",37
