"Color (R, G, B)",Count
"(np.int64(21), np.int64(15), np.int64(14))",196
"(np.int64(185), np.int64(175), np.int64(176))",179
"(np.int64(118), np.int64(87), np.int64(72))",175
"(np.int64(176), np.int64(142), np.int64(120))",162
"(np.int64(58), np.int64(40), np.int64(36))",126
"(np.int64(193), np.int64(214), np.int64(240))",110
"(np.int64(153), np.int64(125), np.int64(109))",36
"(np.int64(213), np.int64(212), np.int64(209))",31
"(np.int64(74), np.int64(85), np.int64(95))",16
"(np.int64(235), np.int64(117), np.int64(68))",13
