"Color (R, G, B)",Count
"(np.int64(39), np.int64(49), np.int64(41))",84
"(np.int64(205), np.int64(216), np.int64(219))",78
"(np.int64(149), np.int64(164), np.int64(171))",69
"(np.int64(84), np.int64(87), np.int64(81))",68
"(np.int64(107), np.int64(121), np.int64(129))",59
"(np.int64(177), np.int64(108), np.int64(61))",24
"(np.int64(22), np.int64(27), np.int64(26))",15
"(np.int64(130), np.int64(128), np.int64(126))",10
"(np.int64(117), np.int64(77), np.int64(52))",9
"(np.int64(209), np.int64(189), np.int64(86))",8
